页号,章节/方法名,方法标识符,函数签名,说明
433,数学函数,,,数学函数 Online Help 数学函数 数学函数 直线与线集求交 Cross_L 两线求交 Cross_P 求点到线段的垂距，垂足点及相对关系 DistPerpEnd 根据颜色值获取颜色号 GetColorIndex 根据颜色号获取颜色值 GetColorValue 判断多边形与多边形关系 Is
434,直线与线集求交,Cross_L,"SSProcess.Cross_L ( x1, y1, x2, y2, crossIDs )","直线与线集求交 Online Help 直线与线集求交 Cross_L 函数 Cross_L 函数 直线与线集求交。 SSProcess.Cross_L ( x1, y1, x2, y2, crossIDs ) 参数 x1 直线点 1 的 x 坐标 y1 直线点 1 的 y 坐标 x2 直线点 2 "
435,两线求交,Cross_P,"SSProcess.Cross_P ( resx, resy, xy11x, xy11y, xy12x, xy12y,xy21x, xy21y, xy22x, xy22y )","两线求交 Online Help 两线求交 Cross_P 函数 Cross_P 函数 两线求交。 SSProcess.Cross_P ( resx, resy, xy11x, xy11y, xy12x, xy12y,xy21x, xy21y, xy22x, xy22y ) 参数 resx 返回交点"
436,求点到线段的垂距，垂足点及相对关系,DistPerpend,"SSProcess.DistPerpend ( resx, resy, pResRelation, x, y, x1, y1, x2, y2 )","求点到线段的垂距，垂足点及相对关系 Online Help 求点到线段的垂距，垂足点及相对关系 DistPerpEnd 函数 DistPerpEnd 函数 求点到线段的垂距，垂足点及相对关系。 SSProcess.DistPerpend ( resx, resy, pResRelation, x, "
437,根据颜色值获取颜色号,GetColorIndex,SSProcess.GetColorIndex ( rgbColor ),根据颜色值获取颜色号 Online Help 根据颜色值获取颜色号 GetColorIndex 函数 GetColorIndex 函数 根据颜色值获取颜色号。 SSProcess.GetColorIndex ( rgbColor ) 参数 rgbColor 颜色值 返回对应的颜色号 说明 示例 Su
438,根据颜色号获取颜色值,GetColorValue,SSProcess.GetColorValue ( indexColor ),根据颜色号获取颜色值 Online Help 根据颜色号获取颜色值 GetColorValue 函数 GetColorValue 函数 根据颜色号获取颜色值。 SSProcess.GetColorValue ( indexColor ) 参数 indexColor 颜色序号 说明 根据颜色号获取颜色
439,判断多边形与多边形关系,IsPolygonInPolygon,"SSProcess.IsPolygonInPolygon ( polygonID1, polygonID2, limit )","判断多边形与多边形关系 Online Help 判断多边形与多边形关系 IsPolygonInPolygon 函数 IsPolygonInPolygon 函数 判断多边形与多边形关系。 SSProcess.IsPolygonInPolygon ( polygonID1, polygonID2, li"
440,判断线与多边形关系,IsPolylineInPolygon,"SSProcess.IsPolylineInPolygon ( lineID, polygonID, limit )","判断线与多边形关系 Online Help 判断线与多边形关系 IsPolylineInPolygon 函数 IsPolylineInPolygon 函数 判断线与多边形关系。 SSProcess.IsPolylineInPolygon ( lineID, polygonID, limit ) 参数"
441,判断点与多边形关系,IsPtInPoly,"SSProcess.IsPtInPoly ( x, y, polygonID, limit )","判断点与多边形关系 Online Help 判断点与多边形关系 IsPtInPoly 函数 IsPtInPoly 函数 判断点与多边形关系。 SSProcess.IsPtInPoly ( x, y, polygonID, limit ) 参数 x 点的 X 坐标 y 点的 Y 坐标 polygonI"
442,判断点与线关系,IsPtOnLine,"SSProcess.IsPtOnLine ( x, y, lineID, limit )","判断点与线关系 Online Help 判断点与线关系 IsPtOnLine 函数 IsPtOnLine 函数 判断点与线关系。 SSProcess.IsPtOnLine ( x, y, lineID, limit ) 参数 x 点的 X 坐标 y 点的 y 坐标 lineID 线对象的 ID 号 "
443,求垂足点,Perpend_P,"SSProcess.Perpend_P ( resx, resy, xyx, xyy, xy1x, xy1y,xy2x, xy2y )","求垂足点 Online Help 求垂足点 PerpEnd_P 函数 PerpEnd_P 函数 求垂足点。 SSProcess.Perpend_P ( resx, resy, xyx, xyy, xy1x, xy1y,xy2x, xy2y ) 参数 resx 生成垂足点的 X 坐标 resy 生成垂"
444,系统设置函数,,,系统设置函数 Online Help 系统设置函数 系统设置函数 关闭脚本运行对话框 CloseScriptDlg 获取当前光标状态 GetCursorStatus 设置当前光标状态 SetCursorStatus 显示脚本运行对话框 ShowScriptDlg 显示自定义脚本运行对话框 ShowS
445,关闭脚本运行对话框,CloseScriptDlg,SSProcess.CloseScriptDlg(),关闭脚本运行对话框 Online Help 关闭脚本运行对话框 CloseScriptDlg 函数 CloseScriptDlg 函数 关闭脚本运行对话框。 SSProcess.CloseScriptDlg() 参数 说明 该函数用于关闭脚本运行对话框。 示例 Sub OnInitScript ()
446,获取当前光标状态,GetCursorStatus,SSProcess.GetCursorStatus(),获取当前光标状态 Online Help 获取当前光标状态 GetCursorStatus 函数 GetCursorStatus 函数 获取当前光标状态。 SSProcess.GetCursorStatus() 参数 说明 使用此函数可以判断当前光标的状态，如果光标为选择状态则返回值为 0 ，如果光
447,设置当前光标状态,SetCursorStatus,SSProcess.SetCursorStatus (status),"设置当前光标状态 Online Help 设置当前光标状态 SetCursorStatus 函数 SetCursorStatus 函数 设置当前光标状态。 SSProcess.SetCursorStatus (status) 参数 status 光标状态，取值为 0,1,2,3,4,5,6,7 说明"
448,显示脚本运行对话框,ShowScriptDlg,"SSProcess.ShowScriptDlg (mode, title)","显示脚本运行对话框 Online Help 显示脚本运行对话框 ShowScriptDlg 函数 ShowScriptDlg 函数 显示脚本运行对话框。 SSProcess.ShowScriptDlg (mode, title) 参数 mode 对话框模式； 0 无参数对话框， 1 有参数对话框 t"
449,显示自定义脚本运行对话框,ShowScriptUserDefDlg,"SSProcess.ShowScriptUserDefDlg(title, dlgTemplateName, dlgWidth, dlgHeight, colCount, titleWidth, valueWidth)","显示自定义脚本运行对话框 Online Help 显示自定义脚本运行对话框 ShowScriptUserDefDlg 函数 ShowScriptUserDefDlg 函数 显示自定义脚本运行对话框 。 SSProcess.ShowScriptUserDefDlg(title, dlgTemplate"
450,更新脚本运行对话框参数,UpdateScriptDlgParameter,SSProcess.UpdateScriptDlgParameter (mode),更新脚本运行对话框参数 Online Help 更新脚本运行对话框参数 UpdateScriptDlgParameter 函数 UpdateScriptDlgParameter 函数 更新脚本运行对话框参数。 SSProcess.UpdateScriptDlgParameter (mode) 参数 
451,系统函数,,,系统函数 Online Help 系统函数 系统函数 获取当前时间 GetCurrentTime1 弹出选择菜单 ShowSelectMenu 弹出分级选择菜单 ShowSelectMenu1 休眠指定时间 Sleep
452,获取当前时间,GetCurrentTime1,SSProcess.GetCurrentTime1(),获取当前时间 Online Help 获取当前时间 GetCurrentTime1 函数 GetCurrentTime1 函数 获取当前时间。 SSProcess.GetCurrentTime1() 参数 说明 执行该函数，将获取当前时间 示例 Sub Onclick() my_time = 100
453,弹出选择菜单,ShowSelectMenu,SSProcess.ShowSelectMenu(selParameters ),"弹出选择菜单 Online Help 弹出选择菜单 ShowSelectMenu 函数 ShowSelectMenu 函数 弹出选择菜单。 SSProcess.ShowSelectMenu(selParameters ) 参数 selParameters 选择菜单列表，多个参数之间用“ , ”分割 "
454,弹出分级选择菜单,ShowSelectMenu1,"SSProcess.ShowSelectMenu1( title, selParameters, color1, color2)","弹出分级选择菜单 Online Help 弹出分级选择菜单 ShowSelectMenu1 函数 ShowSelectMenu1 函数 获取当前时间。 SSProcess.ShowSelectMenu1( title, selParameters, color1, color2) 参数 title "
455,休眠指定时间,Sleep,SSProcess.Sleep(milliseconds),休眠指定时间 Online Help 休眠指定时间 Sleep 函数 Sleep 函数 休眠指定时间。 SSProcess.Sleep(milliseconds) 参数 milliseconds 休眠的时间，单位为毫秒 说明 执行该函数，将当前执行挂起一定时间。 注意：该函数的参数 millisec
456,Function对象参考,,,Function对象参考 Online Help Function 对象参考 Function 对象参考 系统消息函数
457,系统消息函数,,,系统消息函数 Online Help 系统消息函数 系统消息函数 引用外部脚本 #incluede 输出外部数据之前 BeforeExportData 导入外部数据存库之前 BeforeSaveImportData 编辑功能快捷键消息 LineProcess 有模脚本入口函数 OnClick 上下文
458,引用外部脚本,,,引用外部脚本 Online Help 引用外部脚本 #incluede 函数 #inclued 函数 引用外部脚本。 #inclued 函数 参数 说明 示例 用 VBScript 建立脚本“ msgbox.vbs ”，存放在“ PDB 出入库”的脚本组中；另建立脚本“输入输出 .vbs ”，脚本代
459,输出外部数据之前,GetSelGeoCount,SSProcess.GetSelGeoPointCount (i),输出外部数据之前 Online Help 输出外部数据之前 BeforeExportData 函数 BeforeExportData 函数 写入外部数据之前。 BeforeExportData() 参数 说明 在输出外部数据之前调用该函数对数据进行处理后再输出。 示例 输出 ArcGIS 的 MDB
460,导入外部数据存库之前,GetSelGeoCount,SSProcess.GetSelGeoPointCount (i),导入外部数据存库之前 Online Help 导入外部数据存库之前 BeforeSaveImportData 函数 BeforeSaveImportData 函数 导入外部数据存库之前。 BeforeSaveImportData() 参数 说明 示例 经纬度 ArcGIS 的 MDB 格式数据导入，
461,编辑功能快捷键消息,SetCursorStatus,SSProcess.SetCursorStatus,编辑功能快捷键消息 Online Help 编辑功能快捷键消息 LineProcess 函数 LineProcess 函数 编辑功能快捷键消息。 LineProcess( nFlags ) 参数 nFlags 快捷键标识 说明 通过该函数可定义用户按下相应快捷键时，做出何种相应。 示例 colorc
462,有模脚本入口函数,,,有模脚本入口函数 Online Help 有模脚本入口函数 OnClick 函数 OnClick 函数 有模脚本入口函数。 OnClick() 参数 说明 示例
463,上下文菜单消息,,,"上下文菜单消息 Online Help 上下文菜单消息 OnContextMenu 函数 OnContextMenu 函数 上下文菜单消息。 OnContextMenu( x,y ) 参数 x y 说明"
464,系统绘画消息,,,系统绘画消息 Online Help 系统绘画消息 OnDraw 函数 OnDraw 函数 系统绘画消息。 OnDraw( pdc ) 参数 pdc 屏幕指针 说明
465,无模脚本出口函数,ClearInputParameter,SSProcess.ClearInputParameter,无模脚本出口函数 Online Help 无模脚本出口函数 OnExitScript 函数 OnExitScript 函数 无模脚本出口函数。 OnExitScript() 参数 说明 此函数通常与入口函数成对出现，可在函数内设置退出对话框时触发的动作，如：清空所填参数、弹出对话框等操作。 示例 退
466,表格控件行列值改变消息,,,"表格控件行列值改变消息 Online Help 表格控件行列值改变消息 OnGridItemChanged 函数 OnGridItemChanged 函数 表格控件行列值改变消息。 OnGridItemChanged(row,col) 参数 Row 行 col 列 说明"
467,表格控件双击消息,,,表格控件双击消息 Online Help 表格控件双击消息 OnGridItemDbClick 函数 OnGridItemDbClick 函数 表格控件双击消息。 OnGridItemDbClick(row) 参数 row 说明
468,表格控件选择行改变消息,,,表格控件选择行改变消息 Online Help 表格控件选择行改变消息 OnGridSelChanged 函数 OnGridSelChanged 函数 表格控件选择行改变消息。 OnGridSelChanged(row) 参数 Row 行 说明
469,无模脚本入口函数,ClearInputParameter,SSProcess.ClearInputParameter,无模脚本入口函数 Online Help 无模脚本入口函数 OnInitScript 函数 OnInitScript 函数 无模脚本入口函数。 OnInitScript() 参数 mode 有无参数对话框， =1 有参数对话框； =0 无参数对话框 title 参数 对话框名称。 说明 此函数通常位
470,键盘按键击下消息,SetCursorStatus,SSProcess.SetCursorStatus,"键盘按键击下消息 Online Help 键盘按键击下消息 OnKeyDown 函数 OnKeyDown 函数 键盘按键击下消息。 OnKeyDownn(nChar, nRepCnt, nFlags) 参数 nChar 键盘的字符码值 nRepCnt 击键的次数 nFlags 包含扫描码，转换码等 "
471,键盘按键抬起消息,SetCursorStatus,SSProcess.SetCursorStatus,"键盘按键抬起消息 Online Help 键盘按键抬起消息 OnKeyUp 函数 OnKeyUp 函数 键盘按键抬起消息。 OnKeyUp(nChar, nRepCnt, nFlags) 参数 nChar 键盘的字符码值 nRepCnt 击键的次数 nFlags 包含扫描码，转换码等： nFlags"
472,鼠标左键双击消息,,,"鼠标左键双击消息 Online Help 鼠标左键双击消息 OnLButtonDblClk 函数 OnLButtonDblClk 函数 鼠标左键双击消息。 OnLButtonDblClk(x, y, spx, spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空"
473,鼠标左键击下消息,SetCursorStatus,SSProcess.SetCursorStatus,"鼠标左键击下消息 Online Help 鼠标左键击下消息 OnLButtonDown 函数 OnLButtonDown 函数 鼠标左键击下消息。 OnLButtonDown(x, y, spx, spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空间横坐标 s"
474,鼠标左键抬起消息,SetCursorStatus,SSProcess.SetCursorStatus,"鼠标左键抬起消息 Online Help 鼠标左键抬起消息 OnLButtonUp 函数 OnLButtonUp 函数 鼠标左键抬起消息。 OnLButtonUp(x, y, spx , spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空间横坐标 spy 返回"
475,鼠标中键击下消息,SetCursorStatus,SSProcess.SetCursorStatus,"鼠标中键击下消息 Online Help 鼠标中键击下消息 OnMButtonDown 函数 OnMButtonDown 函数 鼠标中键击下消息。 OnMButtonDown(x, y, spx, spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空间横坐标 s"
476,鼠标中键抬起消息,,,"鼠标中键抬起消息 Online Help 鼠标中键抬起消息 OnMButtonUp 函数 OnMButtonUp 函数 鼠标中键抬起消息。 OnMButtonUp(x, y, spx, spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空间横坐标 spy 返回实"
477,鼠标移动消息,ShowScriptDlg,SSProcess.ShowScriptDlg,"鼠标移动消息 Online Help 鼠标移动消息 OnMouseMove 函数 OnMouseMove 函数 鼠标移动消息。 OnMouseMove(x, y, spx, spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空间横坐标 spy 返回实际的空间纵坐"
478,鼠标滚轮消息,ShowScriptDlg,SSProcess.ShowScriptDlg,"鼠标滚轮消息 Online Help 鼠标滚轮消息 OnMouseWheel 函数 OnMouseWheel 函数 鼠标滚轮消息。 OnMouseWheel(x, y, spx, spy, flags, zDelta) 参数 x 屏幕横坐标 y 屏幕纵坐标 spx 实际横坐标 spy 实际纵坐标 f"
479,点击对话框确定键消息,ShowScriptDlg,SSProcess.ShowScriptDlg,点击对话框确定键消息 Online Help 点击对话框确定键消息 OnOK 函数 OnOK 函数 点击对话框确定键消息。 OnOK() 参数 说明 响应点击对话框确定键消息 示例 Sub OnInitScript() mode = 0 ‘=0 无参数对话框 =1 有参数对话框 title= &qu
480,参数设置消息,,,参数设置消息 Online Help 参数设置消息 OnParameterSetup 函数 OnParameterSetup 函数 参数设置消息。 OnParameterSetup() 参数 说明
481,参数发生改变,,,参数发生改变 Online Help 参数发生改变 OnPropertyChanged 函数 OnPropertyChanged 函数 参数发生改变。 OnPropertyChanged() 参数 说明
482,鼠标右键双击消息,,,"鼠标右键双击消息 Online Help 鼠标右键双击消息 OnRButtonDblClk 函数 OnRButtonDblClk 函数 鼠标右键双击消息。 OnRButtonDblClk(x, y, spx, spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空"
483,鼠标右键击下消息,SetCursorStatus,SSProcess.SetCursorStatus,"鼠标右键击下消息 Online Help 鼠标右键击下消息 OnRButtonDown 函数 OnRButtonDown 函数 鼠标右键击下消息。 OnRButtonDown(x, y, spx, spy, flags) 参数 x 返回屏幕横坐标 y 返回屏幕纵坐标 spx 返回实际的空间横坐标 s"
484,鼠标右键抬起消息,SetCursorStatus,SSProcess.SetCursorStatus,"鼠标右键抬起消息 Online Help 鼠标右键抬起消息 OnRButtonUp 函数 OnRButtonUp 函数 鼠标右键抬起消息。 OnRButtonUp(X,Y,Spx,Spy,Flags) 参数 X 返回的屏幕 X 坐标 Y 返回的屏幕 Y 坐标 Spx 返回当前鼠标点位置数据 X 坐标"
485,选择集对象改变消息,ShowScriptDlg,SSProcess.ShowScriptDlg,选择集对象改变消息 Online Help 选择集对象改变消息 OnSelectionChange 函数 OnSelectionChange 函数 选择集对象改变消息。 OnSelectionChange() 参数 说明 在无模脚本中，加入此函数，当选择集对象发生变化时自动进入此函数。 示例 当选择
486,响应定时器,ShowScriptDlg,SSProcess.ShowScriptDlg,响应定时器 Online Help 响应定时器 OnTimer 函数 OnTimer 函数 响应定时器。 OnTimer( nIDEvent ) 参数 nIDEvent 定时器标示 说明 使用此函数将执行定时器 示例 包含执行定时器。 Sub OnInitScript() Mode = 0 titl
487,运行外部脚本,,,"运行外部脚本 Online Help 运行外部脚本 RunScript 函数 RunScript 函数 运行外部脚本。 RunScript (language, scriptGroup, scriptName) 参数 language 语言名称 scriptGroup 脚本分组名称 scriptNa"
488,SSView对象参考,,,SSView对象参考 Online Help SSView 对象参考 SSView 对象参考 屏幕绘制函数
489,屏幕绘制函数,,,屏幕绘制函数 Online Help 屏幕绘制函数 屏幕绘制函数 画 3 维线 Draw3DLine 画圆弧 DrawArc 画圆 DrawCircle 画图片 DrawImage pDc 画线 DrawLine 绘指定对象 DrawObj 画点 DrawPoint 画多边形 DrawPolygon
490,画3维线,ShowScriptDlg,SSProcess.ShowScriptDlg,"画3维线 Online Help 画 3 维线 Draw3DLine 函数 Draw3DLine 函数 画三维线。 SSView.Draw3DLine(pDc,x0,y0 ,z0,x1 ,y1,z1 ,color, width,linestyle) 参数 pDc 指定的窗口 DC x0 绘制线段的第"
491,画圆弧,ShowScriptDlg,SSProcess.ShowScriptDlg,"画圆弧 Online Help 画圆弧 DrawArc 函数 DrawArc 函数 画圆弧。 SSView.DrawArc(pDc,x0,y0 ,x1,y1 ,x2,y2 ,color, width,linestyle) 参数 pDc 指定的窗口 DC x0 绘制圆弧的第一点 X 坐标 y0 绘制圆"
492,画圆,ShowScriptDlg,SSProcess.ShowScriptDlg,"画圆 Online Help 画圆 DrawCircle 函数 DrawCircle 函数 画圆。 SSView.DrawCircle(pDc ,x0,y0 ,x1,y1 ,x2,y2 ,color, width,linestyle) 参数 pDc 指定的窗口 DC x0 绘制圆的第一点 X 坐标 "
493,画图片,ShowScriptDlg,SSProcess.ShowScriptDlg,"画图片 Online Help 画图片 DrawImage 函数 DrawImage 函数 画图片。 SSView.DrawImage(pDc,imgType,imgName ,minX, minY,maxX,maxY,width ,height, drawToBk) 参数 pDc 指定的窗口 DC"
494,画线,SetCursorStatus,SSProcess.SetCursorStatus,"画线 Online Help 画线 DrawLine 函数 DrawLine 函数 画线。 SSView.DrawLine(pDc, x0, y0, x1, y1, color, width, linestyle) 参数 pDc 窗口标识（使用时无需修改默认即可） x0 起点的横坐标（屏幕坐标） y"
495,绘指定对象,,,"绘指定对象 Online Help 绘指定对象 DrawObj 函数 DrawObj 函数 绘指定对象。 SSView.DrawObj(pDc, handle) 参数 pDc 窗口标识（使用时无需修改默认即可） handle 对象句柄 说明 该函数为屏幕绘图函数，用于在屏幕上绘制指定对象。"
496,画点,SetCursorStatus,SSProcess.SetCursorStatus,"画点 Online Help 画点 DrawPoint 函数 DrawPoint 函数 画点。 SSView.DrawPoint(pDc, x, y, color, width) 参数 pDc 窗口标识（使用时无需修改默认即可） x 点的横坐标（屏幕坐标） y 点的纵坐标（屏幕坐标） color 线"
497,画多边形,SetCursorStatus,SSProcess.SetCursorStatus,"画多边形 Online Help 画多边形 DrawPolygon 函数 DrawPolygon 函数 画多边形。 SSView.DrawPolygon(pDc, pointStrings, linecolor, linewidth, linestyle, fillcolor, fillstyle)"
498,画多点线,SetCursorStatus,SSProcess.SetCursorStatus,"画多点线 Online Help 画多点线 DrawPolyline 函数 DrawPolyline 函数 画多点线。 SSView.DrawPolyline(pDc, pointStrings, color, width, linestyle) 参数 pDc 窗口标识（使用时无需修改默认即可） p"
499,动态属性标注,SetCursorStatus,SSProcess.GetSDLRuntimeCmdID( &quot; 管线专用辅助功能 \ 管线点号标注 .vbs&quot; ),"动态属性标注 Online Help 动态属性标注 DrawRuntimeObjAttrInfo 函数 DrawRuntimeObjAttrInfo 函数 动态属性标注。 SSView.DrawRuntimeObjAttrInfo(pDC, hObjList, offsetX, offsetY, s"
500,画文本,PasteBackgroundImage,SSProcess.PasteBackgroundImage,"画文本 Online Help 画文本 DrawText 函数 DrawText 函数 画文本。 SSView.DrawText(pDc, x, y, text, alignment, font, color, width, height, stringangle, wordangle, itali"
501,获取图形窗口实地范围,,,"获取图形窗口实地范围 Online Help 获取图形窗口实地范围 GetClientArea 函数 GetClientArea 函数 获取图形窗口实地范围。 SSView.GetClientArea(minX, minY, maxX, maxY) 参数 minX 图形窗口最小 X 坐标 minY "
502,获取图形窗口屏幕范围,ClearInputParameter,SSProcess.ClearInputParameter,"获取图形窗口屏幕范围 Online Help 获取图形窗口屏幕范围 GetClientRect 函数 GetClientRect 函数 获取图形窗口屏幕范围。 SSView.GetClientRect(l, t, r, b) 参数 l （ lift ）窗口范围参数 : 屏幕显示区域尺寸，左侧值，通常"
503,获取按键状态,,,获取按键状态 Online Help 获取按键状态 GetKeyState 函数 GetKeyState 函数 获取按键状态。 SSView.GetKeyState(virtKey) 参数 virtKey 键盘键值 说明 获取键盘状态，需要将 16 进制通过计算机转换成 10 进制 示例 键盘 F1
504,图纸上0.1毫米代表的屏幕上的像素,,,图纸上0.1毫米代表的屏幕上的像素 Online Help 图纸上 0.1 毫米代表的屏幕上的像素 GetMCtoCC 函数 GetMCtoCC 函数 写入外部数据之前。 SSView.GetMCtoCC() 参数 说明 示例 Sub OnClick() ' 图纸上 0.1 毫米代表的屏幕上的像素 
505,获取当前屏幕每毫米对应实地米数,,,获取当前屏幕每毫米对应实地米数 Online Help 获取当前屏幕每毫米对应实地米数 GetMMtoME 函数 GetMMtoME 函数 获取当前屏幕每毫米对应实地米数。 SSView.GetMMtoME() 参数 说明 示例 Sub OnClick() ' 获取当前屏幕每毫米对应实地米数 mm 
506,复制当前屏幕到剪切板,,,复制当前屏幕到剪切板 Online Help 复制当前屏幕到剪切板 MakeBackgroundImage 函数 MakeBackgroundImage 函数 复制当前屏幕到剪切板。 SSView.MakeBackgroundImage() 参数 说明 该函数用于复制当前屏幕到剪粘板。
507,移动屏幕到指定位置,,,"移动屏幕到指定位置 Online Help 移动屏幕到指定位置 MoveScreenByPoint 函数 MoveScreenByPoint 函数 移动屏幕到指定位置。 SSView.MoveScreenByPoint(x, y, redraw) 参数 x 设置需移动屏幕到指定位置的 X 坐标 y "
508,拷贝剪切板内容到当前屏幕,,,拷贝剪切板内容到当前屏幕 Online Help 拷贝剪切板内容到当前屏幕 PasteBackgroundImage 函数 PasteBackgroundImage 函数 拷贝剪切板内容到当前屏幕。 SSView.PasteBackgroundImage() 参数 说明 该函数用于拷贝剪粘板内容到当
509,设置线笔宽,SetCursorStatus,SSProcess.SetCursorStatus,设置线笔宽 Online Help 设置线笔宽 SetPenWidth 函数 SetPenWidth 函数 写入外部数据之前。 SSView.SetPenWidth(dWidth) 参数 dWidth 设置屏幕绘制时的线笔宽度 说明 该函数用于设置屏幕绘制时的线笔宽度。 示例 Dim arX( 10
510,设置点笔宽,,,设置点笔宽 Online Help 设置点笔宽 SetPointSize 函数 SetPointSize 函数 设置点笔宽。 SSView.SetPointSize(dSize) 参数 dSize 点笔宽像素 说明 使用此函数将指定绘制点的大小。 示例 设置点笔宽： Sub OnClick() SS
511,设置绘图异或方式,ShowScriptDlg,SSProcess.ShowScriptDlg,设置绘图异或方式 Online Help 设置绘图异或方式 SetROP2 函数 SetROP2 函数 设置绘图异或方式。 SSView.SetROP2(nLogicop) 参数 nLogicop 说明 该函数用于设定当前绘图前景色的混合模式。 示例 scroll = 1 Sub OnInitScr
512,缩放屏幕到指定范围,RefreshView,SSProcess.RefreshView,"缩放屏幕到指定范围 Online Help 缩放屏幕到指定范围 ZoomExtend 函数 ZoomExtend 函数 缩放屏幕到指定范围。 SSView.ZoomExtend(xMin,yMin,xMax ,yMax, redraw) 参数 xMin 最小 X 坐标 yMin 最小 Y 坐标 xM"
513,SSArray对象参考,,,SSArray对象参考 Online Help SSArray 对象参考 SSArray 对象参考 数组函数
514,数组函数,,,数组函数 Online Help 数组函数 数组函数 追加数组元素 Append hArrayDest 删除数组 Close arrayType 拷贝数组元素 Copy hArrayDest 创建数组 Create arrayType 根据类型与名称获取数组句柄 GetHandle arrayTyp
515,追加数组元素,,,"追加数组元素 Online Help 追加数组元素 Append 函数 Append 函数 追加数组元素。 SSArray.Append(hArrayDest, hArraySrc) 参数 hArrayDest hArraySrc 说明"
516,删除数组,SetSelectConditionGroup,SSProcess.SetSelectConditionGroup,删除数组 Online Help 删除数组 Close 函数 Close 函数 删除数组。 SSArray.Close (arrayType) 参数 arrayType 数值类型 说明 示例 Function OnDraw( pDc ) gxPoints = SSArray.Create( &quo
517,拷贝数组元素,,,"拷贝数组元素 Online Help 拷贝数组元素 Copy 函数 Copy 函数 拷贝数组元素。 SSArray.Copy (hArrayDest, hArraySrc) 参数 hArrayDest hArraySrc 说明"
518,创建数组元素,,,"创建数组元素 Online Help 创建数组元素 Create 函数 Create 函数 创建数组。 SSArray.Create (arrayType, arrayName) 参数 arrayType 数值类型 arrayName 数组名称 说明"
519,根据类型与名称获取数组句柄,,,"根据类型与名称获取数组句柄 Online Help 根据类型与名称获取数组句柄 GetHandle 函数 GetHandle 函数 获取数组句柄。 SSArray.GetHandle(arrayType, arrayName) 参数 arrayType 数组类型 arrayName 数组名称 说明"
520,获取数组中元素数量,,,获取数组中元素数量 Online Help 获取数组中元素数量 GetSize 函数 GetSize 函数 获取数组中元素数量。 SSArray.GetSize(hArray) 参数 hArray 说明
521,数组排序,,,"数组排序 Online Help 数组排序 Order 函数 Order 函数 数组排序。 SSArray.Order(hArray, bIncrease) 参数 hArray bIncrease 说明"
522,数组元素反序,,,数组元素反序 Online Help 数组元素反序 Reverse 函数 Reverse 函数 数组元素反序。 SSArray.Reverse(hArray) 参数 hArray 说明
523,设置数组中元素数量,,,"设置数组中元素数量 Online Help 设置数组中元素数量 SetSize 函数 SetSize 函数 设置数组中元素数量。 SSArray.SetSize(hArray, nSize, nGrow) 参数 hArray 数组名 nSize nGrow 说明"
524,数组按值排序,,,"数组按值排序 Online Help 数组按值排序 SortByValue 函数 SortByValue 函数 数组按值排序。 SSArray.SortByValue(hArrayValues, hArrayKeys, bIncrease) 参数 hArrayValues hArrayKeys bI"
525,SSParmeter对象参考,,,SSParmeter对象参考 Online Help SSParmeter 对象参考 SSParmeter 对象参考 共享参数函数
526,共享参数函数,,,共享参数函数 Online Help 共享参数函数 共享参数函数 获取日期型参数 GetParameterDATE 获取浮点型参数 GetParameterDBL 获取整型参数 GetParameterINT 获取字符型参数 GetParameterSTR 获取指针型参数 GetParameterV
527,获取日期型参数,,,"获取日期型参数 Online Help 获取日期型参数 GetParameterDATE 函数 GetParameterDATE 函数 获取日期型参数。 SSParameter.GetParameterDATE(strSection, strKeyName, defaultValut, keyVal"
528,获取浮点型参数,,,"获取浮点型参数 Online Help 获取浮点型参数 GetParameterDBL 函数 GetParameterDBL 函数 获取浮点型参数。 SSParameter.GetParameterDBL(strSection, strKeyName, defaultValut, keyValue)"
529,获取整型参数,GetObjectAttr,"SSProcess.GetObjectAttr (noteID, &quot;SSObj_FontClass&quot; )","获取整型参数 Online Help 获取整型参数 GetParameterINT 函数 GetParameterINT 函数 获取整型参数。 SSParameter.GetParameterINT(strSection, strKeyName, defaultValut, keyValue) 参数"
530,获取字符型参数,GetObjectAttr,"SSProcess.GetObjectAttr (geoID, &quot;[ 房屋层数 ]&quot; )","获取字符型参数 Online Help 获取字符型参数 GetParameterSTR 函数 GetParameterSTR 函数 获取字符型参数。 SSParameter.GetParameterSTR(strSection, strKeyName, defaultValut, keyValue)"
531,获取指针型参数,,,"获取指针型参数 Online Help 获取指针型参数 GetParameterVOID 函数 GetParameterVOID 函数 获取指针型参数。 SSParameter.GetParameterVOID(strSection, strKeyName, keyValue) 参数 strSect"
